event_name,location,city,date,time,event_link
Dark Side of The Moon & The Wall - In Concert,Compensa koncertų salė,Vilnius,2026-04-22,20:00,https://www.compensakoncertusale.lt/renginiai/music-hans-zimmer-and-others
Teatro komedija TIK NESAKYK ŽMONAI,Compensa koncertų salė,Vilnius,2026-04-26,18:00,https://www.compensakoncertusale.lt/renginiai/teatro-komedija-tik-nesakyk-zmonai-1
GERIAUSI STASIO POVILAIČIO ŠLAGERIAI,Compensa koncertų salė,Vilnius,2026-04-30,19:00,https://www.compensakoncertusale.lt/renginiai/geriausi-stasio-povilaicio-slageriai
Baletas ''Snieguolė ir Septyni Nykštukai'',Compensa koncertų salė,Vilnius,2026-05-01,12:00,https://www.compensakoncertusale.lt/renginiai/baletas-snieguole-ir-septyni-nykstukai-1
Stebuklinga Motusėno kelionė,Compensa koncertų salė,Vilnius,2026-05-02,14:00,https://www.compensakoncertusale.lt/renginiai/stebuklinga-motuseno-kelione
A|CH premjera ''KARALIŲ PASAKA'',Compensa koncertų salė,Vilnius,2026-05-05,19:00,https://www.compensakoncertusale.lt/renginiai/ach-premjera-karaliu-pasaka-vilnius-3
A|CH SPEKTAKLIS ''JAUNYSTĖ'',Compensa koncertų salė,Vilnius,2026-05-06,19:00,https://www.compensakoncertusale.lt/renginiai/ach-spektaklis-jaunyste-vilnius-2
Tori Amos - In Times of Dragons,Compensa koncertų salė,Vilnius,2026-05-30,20:00,https://www.compensakoncertusale.lt/renginiai/mazasis-princas-2
Of Monsters And Men | The Mouse Parade Tour,Compensa koncertų salė,Vilnius,2026-06-16,20:00,https://www.compensakoncertusale.lt/renginiai/tori-amos-times-dragons
Teatro komedija UOŠVIS,Compensa koncertų salė,Vilnius,2026-10-16,19:00,https://www.compensakoncertusale.lt/renginiai/teatro-komedija-uosvis-4
The Italian Tenors,Compensa koncertų salė,Vilnius,2026-11-04,20:00,https://www.compensakoncertusale.lt/renginiai/italian-tenors-0
MORTA SMIT. Didysis burleskos šou,Compensa koncertų salė,Vilnius,2026-11-12,20:00,https://www.compensakoncertusale.lt/renginiai/morta-smit-didysis-burleskos-sou
Alizée ''Moi Lolita'' & Jonathan Dassin su auksiniais tėvo Joe Dassin hitais,Compensa koncertų salė,Vilnius,2026-11-20,19:00,https://www.compensakoncertusale.lt/renginiai/alizee-moi-lolita-jonathan-dassin-su-auksiniais-tevo-joe-dassin-hitais
Future cello & Moosu X: ELEKTRONINĖ SIMFONIJA,Compensa koncertų salė,Vilnius,2026-11-28,19:00,https://www.compensakoncertusale.lt/renginiai/future-cello-moosu-x-elektronine-simfonija
Pelėda Drūlija 3,Compensa koncertų salė,Vilnius,2026-11-29,15:00,https://www.compensakoncertusale.lt/renginiai/peleda-drulija-3
JodokCello,Compensa koncertų salė,Vilnius,2026-12-05,19:00,https://www.compensakoncertusale.lt/renginiai/jodokcello
DOMINO teatras | miuziklas PARYŽIAUS KATEDRA,Compensa koncertų salė,Vilnius,2026-12-15,19:00,https://www.compensakoncertusale.lt/renginiai/domino-teatras-miuziklas-paryziaus-katedra-vilnius-2
